"support_war","strong_leader","compliance","female","age","income","religion","hindu","practicing_religion","education","political_ideology","employment","employed","marital_status","married","job_loss"
0,1,0,0,31,9,6,1,1,3,10,1,1,1,1,1
1,1,1,0,46,2,7,0,1,0,10,2,0,1,1,2
1,1,0,0,36,2,6,1,1,4,9,3,0,6,0,4
1,1,1,0,34,3,6,1,1,4,10,1,1,6,0,1
1,1,0,0,29,5,6,1,1,4,7,5,0,6,0,1
1,1,0,0,60,5,6,1,3,4,5,1,1,1,1,3
0,1,0,0,29,6,6,1,1,5,9,4,0,6,0,1
1,1,0,0,39,3,1,0,1,3,10,2,0,6,0,1
1,1,0,0,35,2,6,1,1,5,5,3,0,6,0,1
0,1,0,0,35,2,6,1,2,1,9,1,1,1,1,3
0,1,0,0,39,10,6,1,1,8,8,1,1,1,1,1
1,0,0,1,24,4,6,1,3,4,3,1,1,1,1,4
0,1,0,1,20,7,5,0,2,2,4,7,0,1,1,1
1,1,0,0,28,4,6,1,2,4,10,2,0,6,0,2
1,0,1,0,37,2,6,1,1,2,3,3,0,1,1,3
1,1,1,1,31,2,6,1,2,0,8,1,1,1,1,1
0,1,0,0,28,3,6,1,1,4,4,1,1,1,1,4
0,1,0,0,30,2,6,1,1,3,10,1,1,1,1,1
0,1,0,0,37,8,6,1,1,6,7,8,0,1,1,3
0,0,0,0,21,3,7,0,2,4,5,3,0,1,1,1
1,1,1,0,38,3,6,1,1,4,5,1,1,1,1,1
0,1,0,0,37,10,6,1,1,5,10,8,0,1,1,1
1,1,0,0,40,4,6,1,1,5,8,1,1,1,1,3
0,1,0,0,19,3,1,0,1,4,6,6,0,6,0,2
0,1,0,1,25,2,6,1,3,1,1,5,0,1,1,2
1,0,0,0,42,10,6,1,3,7,8,6,0,1,1,4
0,1,0,0,37,3,1,0,2,4,8,3,0,1,1,2
1,1,0,0,46,5,6,1,4,4,2,6,0,1,1,2
1,1,0,1,31,3,6,1,1,4,5,3,0,6,0,3
1,1,1,0,42,1,6,1,1,1,9,3,0,1,1,4
1,1,1,0,27,5,6,1,4,4,8,1,1,6,0,1
1,1,1,0,28,3,6,1,1,4,5,1,1,1,1,2
0,1,0,0,40,4,6,1,1,4,8,6,0,3,0,4
0,1,0,0,18,2,1,0,1,3,1,6,0,6,0,3
1,1,0,0,25,4,6,1,1,4,7,1,1,6,0,4
1,1,0,1,46,7,6,1,1,5,10,7,0,1,1,1
1,1,0,1,40,8,6,1,1,7,8,1,1,1,1,2
0,1,0,1,35,8,6,1,1,6,8,8,0,1,1,2
0,1,0,0,33,9,6,1,1,8,9,6,0,6,0,1
1,0,0,1,46,6,6,1,2,4,6,3,0,1,1,2
0,1,0,0,37,10,6,1,2,8,7,3,0,1,1,2
0,1,0,0,23,4,6,1,1,4,10,2,0,6,0,2
1,1,0,0,29,7,6,1,1,4,9,3,0,1,1,4
0,0,0,0,24,5,6,1,3,4,6,3,0,6,0,4
0,1,0,0,25,9,6,1,2,4,7,3,0,6,0,4
0,0,0,0,27,1,6,1,2,2,1,3,0,1,1,1
1,1,1,0,31,4,6,1,1,5,5,2,0,6,0,1
1,0,1,0,41,3,1,0,1,4,3,1,1,1,1,2
0,0,0,0,20,4,6,1,4,5,2,7,0,6,0,2
1,0,0,0,32,3,6,1,1,5,6,1,1,1,1,1
1,0,0,1,52,10,5,0,1,7,8,8,0,1,1,2
1,0,0,1,40,4,6,1,1,4,10,5,0,1,1,1
1,0,0,0,45,3,5,0,1,4,2,1,1,1,1,1
1,1,0,0,22,5,6,1,1,5,4,4,0,6,0,2
0,0,0,0,19,1,6,1,2,4,6,6,0,6,0,4
1,0,0,0,35,3,6,1,2,5,9,2,0,6,0,2
0,1,0,1,44,5,5,0,1,5,9,4,0,1,1,1
0,0,0,0,40,4,6,1,1,4,8,3,0,1,1,1
0,1,0,1,55,3,6,1,1,4,10,3,0,6,0,1
0,1,0,1,21,4,6,1,1,4,10,2,0,6,0,1
0,1,0,1,21,2,6,1,1,1,4,1,1,6,0,2
0,0,0,1,18,10,6,1,1,7,5,7,0,6,0,1
0,1,0,1,40,5,6,1,2,5,4,1,1,1,1,2
1,0,1,1,33,2,6,1,1,4,5,3,0,1,1,1
0,0,0,1,19,2,7,0,1,4,8,6,0,6,0,3
1,1,0,1,31,10,6,1,3,6,5,5,0,1,1,2
0,0,0,1,29,4,6,1,3,5,5,2,0,1,1,1
0,0,0,0,53,4,6,1,1,4,10,3,0,1,1,1
0,1,0,1,19,1,6,1,3,2,5,4,0,2,0,1
0,1,0,0,40,4,6,1,1,4,10,3,0,6,0,1
1,0,0,1,40,3,6,1,1,3,5,1,1,1,1,1
0,0,0,1,41,2,9,0,1,4,1,3,0,1,1,2
0,0,0,1,42,2,6,1,4,4,10,5,0,1,1,3
1,1,0,1,41,5,6,1,1,4,8,2,0,1,1,1
0,1,0,1,34,3,6,1,1,5,1,5,0,1,1,1
0,0,0,0,20,6,6,1,1,4,8,6,0,6,0,3
